Which of the follow is true?,Only use a tow-bar when towing a vehicle using a quad bike on the public road.,No person shall use any motorcycle to tow another vehicle.,Only a four-wheel motorcycle can tow a vehicle on the public road.,No person shall use any motorcycle to tow another vehicle.,Rule,0,18
To Control the speed of the Motorcycle you must use?,2;3 and 5,4;5 and 7,5;6 and 9,4;5 and 7,Control,100,19
These road markings warn you that . . . ?,You must keep as far left as possible.,There is no-overtaking line or no-crossing line ahead.,The is a gentle curve ahead.,There is no-overtaking line or no-crossing line ahead.,Sign,26,20
No person shall ride a vehicle on a public road while . . . ,Holding a cellular or mobile telephone or any other communication device in one or both hands or with any other part of the body.,Using at least one hand on the handle bar.,Having Passengers on the motorcycle or in the vehicle.,Holding a cellular or mobile telephone or any other communication device in one or both hands or with any other part of the body.,Rule,0,21
You should never . . . on a public road.,Follow another vehicle closer than reasonable.,Follow directions of a traffic officer.,Use hand signals.,Follow another vehicle closer than reasonable.,Rule,0,22
This road sign informs you of an . . . Ahead,Arrestor bed.,Old gas station.,Oil station.,Arrestor bed.,Sign,29,23
How should you react when you come across this road marking on the roadway.,Give right of way to other traffic.,Look out for pedestrians.,Follow the correct route in the intersection.,Follow the correct route in the intersection.,Sign,30,24
Your vehicle is not allowed on the public road if,It does not have a radio.,It has low fuel.,It is not fitted with a rear-view mirror or mirrors allowing the driver/rider to see in clear weather; a clear reflection of traffic to the rear.,It is not fitted with a rear-view mirror or mirrors allowing the driver/rider to see in clear weather; a clear reflection of traffic to the rear.,Rule,0,25
This road sign prohibits you from doing what on a public road.,To use your hooter at other road users.,To use your hooter and make sure the noise level of your vehicle is very low.,To play loud music from your stereo.,To use your hooter and make sure the noise level of your vehicle is very low.,Sign,2,26
Which Control is used to increase or decrease the motorcycle's speed?,2,9,5,5,Control,100,27
Where should you rest your feet when riding a motorcycle on a public road?,Foort rest / peg.,Service brake.,Gear lever.,Foort rest / peg.,Rule,0,28
This road sign warns you of a . . . ?,Primary School ahead.,Traffic signals ahead.,Pedestrians crossing ahead.,Traffic signals ahead.,Sign,3,29
A Motorcycle should never carry a load that projects more than . . . on either side of the wheels on a public road.,450 millimetres.,300 millimetres.,800 millimetres.,450 millimetres.,Rule,0,30
You are not allowed to ride your motorcycle if . . . ,It doest not have a hooter.,It does not have the two braking systems for the front wheel and for the rear wheel.,It does not have a 250cc engine.,It does not have the two braking systems for the front wheel and for the rear wheel.,Rule,0,31
What does this road sign prevent you from doing?,Using hand signals.,Turning Left an Intersection.,Driving on the left lane of the road.,Turning Left an Intersection.,Sign,4,32
This road sign warns you of what?,A demarcated pedestrians crossing ahead.,A Primary School.,Pedestrians walking ahead.,A demarcated pedestrians crossing ahead.,Sign,5,33
On public roads; when riding a motorcycle you should . . . ,Always switch the headlamps on (day and night).,Ride at 60km per hour.,Always carry a Passenger.,Always switch the headlamps on (day and night).,Rule,0,34
This warning sign notifies you to be on the lookout for . . . ?,Patholes.,Speed humps.,Rocks on the road.,Speed humps.,Sign,10,35
To turn a sharp curve on the road; you must use?,1;3;5 and 7,2;6;8 and 9,1;2;3;5;7 and 8,1;2;3;5;7 and 8,Control,100,36
When riding you should always . . . ,Travel at a speed of 60km/h on every public road.,Have a Passenger with you.,Obey the traffic signs and rules of the road; unless directed otherwise by a traffic officer.,Obey the traffic signs and rules of the road; unless directed otherwise by a traffic officer.,Rule,0,37
On a public road you are not allowed to . . .,Enter a gravel road travelling at 30km/h.,Tow another vehicle without a tow bar. ,Cause any wheel of a vehicle to drag or spin upon the surface of the roadway; except in the cause of an emergency.,Cause any wheel of a vehicle to drag or spin upon the surface of the roadway; except in the cause of an emergency.,Rule,0,38
This road sign commands what?,Only taxis may drive there.,Only motor cars may drive there.,Only mini bus may drive there.,Only taxis may drive there.,Sign,8,39
What should you reaction when you approach this road sign?,Switch headlamps on.,Turn up the volume of your stereo.,Drive at high speed.,Switch headlamps on.,Sign,7,40
If you decide to stop or turn to the left or to the right; you should . . .,Indicate your intention in good time.,Look out for Pedestrians.,Drive by as fast as possible.,Indicate your intention in good time.,Rule,0,41
How many hands should at least be on the handlebars when riding a motorcycle on a public road.,Both hands.,One hand.,None,One hand.,Rule,0,42
The road sign warns you of what?,Two way road ahead.,Road narrows from both sides ahead.,Pedestrian crossing road.,Road narrows from both sides ahead.,Sign,6,43
What does this road sign inform road users about?,The road ahead is uneven.,There are humps ahead.,There is a river nearby.,The road ahead is uneven.,Sign,9,44
A driver/rider of a vehicle shall not enter/cross a public road if  . . .,There is obstruction and moving traffic.,The vehicle can cross the road without obstructing or endangering any traffic.,The road is clear of moving traffic.,There is obstruction and moving traffic.,Rule,0,45
Which Liver applies the rear break on a motorcycle?,7,2,4,7,Control,100,46
When riding any motorcycle on a public road you shall not . . .,Take hold of any other vehicle in motion.,Drive/ride in single file in the same lane.,Carry an adult persons in a sidecar attached to a motorcycle.,Take hold of any other vehicle in motion.,Rule,0,47
No person driving a vehicle on public road shall . . .,Bring a vehicle to a stop behind the stop line.,Cause or allow the engine thereof to run while petrol or other falmmable fuel is being deilvered into the fuel tank.,Look out for other vehicles and yield to vehicles already in the circle.,Cause or allow the engine thereof to run while petrol or other falmmable fuel is being deilvered into the fuel tank.,Rule,0,48
This road sign forbids you from doing what on a public road.,To Park your vehicle in that area.,To drive slow for the next 100m.,To park your vehicle at the nearest park.,To Park your vehicle in that area.,Sign,1,49
Where should a red retro reflector be fitted on a motorcycle; motorcycle with a sidecar or motor tricycle; on a public road. ,On the front.,On the rear.,On the sides.,On the rear.,Rule,0,50
At an intersection when you see this road marking; you need to . . . ?,Look out for Pedestrians.,Proceed without stopping.,Give way to any one who crosses your path of travel.,Give way to any one who crosses your path of travel.,Sign,21,51
When driving/riding on the public road you should always . . . ,Have reasonable consideration for other road users.,Drive at 60km/h.,Look out for traffic officers.,Have reasonable consideration for other road users.,Rule,0,52
What will you come by ahead of this warning sign.,A priority crossroad and you do not have a right of way.,A priority crossroad and have right of way.,A crossroad,A priority crossroad and have right of way.,Sign,20,53
. . . is not allowed on a freeway.,A Motor vehicle.,An Animal drawn vehicle.,A Motorcycle.,An Animal drawn vehicle.,Rule,0,54
What is the purpose of this road sign?,To Prohibit pedal cycles from using the area.,To indicate a lane reserved for pedal cycles.,To indicate a parking area reserved for bicycles.,To indicate a parking area reserved for bicycles.,Sign,16,55
This road sign commands what?,A proceed right only,Keep right,Keep left,Keep right,Sign,17,56
You may not carry more than two passengers on a motorcycle unless . . .,It's attached to a sidecar.,The engine capacity is more than 125cc.,The passengers are children.,It's attached to a sidecar.,Rule,0,57
Which Control is used to indicate your intentions?,7,4,6,6,Control,100,58
This road sign warns you to be on the lookout for what?,Temporary construction or maintenance work ahead.,Pedestrians ahead.,Road block ahead.,Temporary construction or maintenance work ahead.,Sign,12,59
On public road you may not stop your vehicle . . .,9 metres from a pedestrians crossing.,within the railway reserve at a level crossing.,11 metres from a tunnel.,within the railway reserve at a level crossing.,Rule,0,60
At an intersection when you see this road marking; you need to . . . ?,Look out for Pedestrians.,Give way to any one who crosses your path of travel.,Look out for any pedestrians crossing or wanting to cross the road and give them priority by slowing down or stopping.,Look out for any pedestrians crossing or wanting to cross the road and give them priority by slowing down or stopping.,Sign,22,61
What action should be taken when you encounter this command sign?,Turn Left only,Keep left,Proceed left only,Turn Left only,Sign,18,62
This road-making warns road users that . . . ?,This part of the road may not be used by buses.,This part of the road is for buses only.,This part of the road may be used by pedestrians as a bus stop.,This part of the road is for buses only.,Sign,19,63
When riding any motorcycle on a public road you shall not . . .,Drive/ride in a single file in the same lane.,Carry more than two adult persons in a side car attached to a motorcycle.,Carry an adult person in a side car attached to a motorcycle.,Carry more than two adult persons in a side car attached to a motorcycle.,Rule,0,64
This road sign reminds of you what?,Police flashing lights ahead.,Emergency flashing lights ahead.,Traffic signals ahead.,Emergency flashing lights ahead.,Sign,13,65
What does this road sign early indicate road users of?,An alternative route,An Airport.,A pick-up point.,An alternative route,Sign,14,66
When riding any motorcycle on a public road you shall not . . .,Carry a passenger on a motorcycle unless such a cycle has an engine with a cylinder capacity exceeding 50 cubic centimetres.,Drive/ride in single file in the same lane.,Have less than two hands on the handlebars of such motorcycle at all times.,Carry a passenger on a motorcycle unless such a cycle has an engine with a cylinder capacity exceeding 50 cubic centimetres.,Rule,0,67
Before Coming to a standstill; which combination controls must be used immediately?,1;3 and 5,4;6 and 9,2;4 and 7,2;4 and 7,Control,100,68
